"","s1"
"(Intercept)",3.68709062012305
"exquisite",0.134605128064154
"gem",0.0881270242934043
"incredible",0.275578873610937
"perfection",0.0316517549333552
"heavenly",0.00548634877593427
"superb",0.275802629768903
"phenomenal",0.301632575146243
"handmade",0.0947623338638087
"exceed",0.286875184749096
"obsess",0.199577628176495
"scrumptious",0.0647307177382943
"divine",0.217588508973928
"amaze",0.0679247092009145
"highly",0.230698954118089
"unassuming",0.0978759139753316
"heaven",0.254254519370664
"knowledgeable",0.163385220115416
"wonderful",0.225449219994772
"impeccable",0.226400501410079
"fabulous",0.193546518208628
"fantastic",0.276946209367595
"die",0.0389845528872194
"delectable",0.00529934328249749
"takeover",0.177442482694524
"outstanding",0.339617181967016
"perfect",0.181158051379112
"amazingly",0.142450633492917
"informative",0.0178044732140913
"drool",0.0520476563844862
"tour",0.0124368731222807
"jeni.s",0
"delicious",0.274390626259141
"decadent",0
"dream",0.258083222712707
"magical",0.0486359522644054
"terrific",0.221795346950832
"fav",0.0591980250526275
"addictive",0
"beautifully",0.0383422496680079
"knowledgable",0
"delightful",0
"joy",0.0452952664023587
"perfectly",0
"elegant",0
"chickpea",0
"deliciousness",0
"adorable",0.0430620562603046
"delish",0.209428510983426
"guide",0.0572903100702595
"deliciously",0
"awesome",0.256581310323167
"complement",0
"addict",0.139743965588517
"wonderfully",0
"omg",0.0452555438819521
"favorite",0.202075683752229
"excellent",0.235441593699965
"lentil",0.0373299531637059
"notch",0.271137043999226
"personable",0.0936688463603109
"refresh",0
"holy",0.129485668771067
"baklava",0
"goody",0
"genuine",0.0334292915635174
"bomb",0.291944291119395
"homemade",0.0828562505347653
"savory",0.0148731606243267
"exceptional",0.189457234835611
"vegan",0.071497325652598
"thoughtful",0.0767177887713641
"vibes",0.0813708892938411
"lick",0
"fave",0
"affordable",0.156220065830941
"passion",0.064697310471421
"skeptical",0.0354874106318248
"plantain",0.101434177985289
"cozy",0.0431795556790181
"helpful",0.144952344381209
"secret",0.143665402614462
"pudding",0.0585581695840845
"fluffy",0.0598199882796888
"upbeat",0
"pleasure",0.0851660561973564
"yummy",0.0732263628445056
"yum",0.0811897611544814
"gorgeous",0.0634753806639305
"unique",0.100499851753992
"pastor",0.102524571017199
"falafel",0.0393024164554249
"sooo",0.159414174965488
"delight",0.154270874815302
"seasonal",0.0288483632737095
"mediterranean",0
"international",0
"chai",0
"ray",0
"cbus",0.0925560135490215
"female",-0.00792097314765917
"badly",0
"crappy",-0.0635965814925482
"barely",-0.382111372923041
"mess",-0.28496392076985
"witness",-0.180086396121516
"phone",-0.282830459185984
"speaker",-0.12458885144261
"fuck",-0.130968504528108
"disappointment",-0.486636994884646
"manager",-0.181317982726027
"redeem",-0.18607593505442
"inquire",-0.0348608886682632
"male",-0.0839032238995784
"explanation",-0.0378136189627026
"angry",-0.229966893014549
"dump",0
"ridiculous",-0.375937020528976
"irritate",-0.0541545448732439
"toilet",-0.0782569643760895
"blame",-0.0885638595685606
"ruin",-0.31306790865168
"politely",0.00663371123596044
"rubbery",-0.461557729609299
"act",-0.0606418541996885
"frustrate",-0.154026780403562
"flag",-0.0541267371195632
"mediocre",-0.504373665873586
"mcdonalds",-0.38698587927722
"rip",0
"decline",-0.380136593398604
"unpleasant",-0.210974034728655
"excuse",-0.146059680458064
"overrate",-0.499242455027826
"sick",-0.342069917013099
"microwave",-0.339835554496428
"apologize",-0.0282609275896373
"upset",-0.315623855733715
"contact",-0.0508210113386403
"management",-0.390715152396321
"attitude",-0.319884812692117
"understaffed",-0.480530555258519
"edible",0
"shut",-0.176057094042308
"whatsoever",-0.249133702070071
"screw",-0.419861251793082
"lukewarm",-0.37182754621235
"embarrass",-0.289762846960225
"subpar",-0.565521035147837
"corporate",-0.168606888608977
"gross",-0.503683928706853
"comp",-0.0105013681255669
"respond",0
"inconvenience",-0.287343415786272
"policy",-0.253121540959663
"stale",-0.419541272922508
"inattentive",0
"undercooked",-0.42226791499786
"yuck",-0.121098713048195
"yell",-0.114319403133691
"proceed",-0.222409311477092
"argue",-0.296784700158371
"flavorless",-0.485044455109991
"incorrect",-0.284144874129558
"ignore",-0.522255881705859
"unfriendly",-0.342542063137108
"receipt",-0.265932710776016
"wtf",-0.269597404942015
"trash",-0.463910436513899
"remake",-0.161560294543142
"response",-0.195243471677316
"acknowledge",-0.581867321280286
"disaster",-0.649832857165002
"poor",-0.538024404405557
"garbage",-0.549484413370019
"waste",-0.599047907632476
"piss",-0.209550897571827
"reply",0
"tasteless",-0.57232990727118
"refuse",-0.567151400022314
"poorly",0
"apology",-0.0130828075459049
"terrible",-0.703481050477264
"nasty",-0.371723280099244
"awful",-0.643734544761977
"downhill",-0.611749506076678
"inedible",-0.569877252886629
"cancel",-0.468924422973423
"insult",-0.142406371713212
"horrible",-0.769190075304241
"rude",-0.678078805336126
"filthy",-0.644337096083667
"disgust",-0.587903823673881
"pathetic",-0.485019095929878
"poison",-0.796137307982264
"refund",-0.268558238368368
"unacceptable",-0.495080195700905
"rudely",0.0817786271625096
"unprofessional",-0.617811615073534
"mean",0
"capable",0
"married",0.154131429987609
"disappointing",-0.622460373205518
"laughable",-0.119435628584254
"subject",0
"appetizing",0
"unfortunate",-0.101643146154191
"logical",0
"ill",0
"available",-0.0132677208388147
"win",0
"unsalted",-0.0555756956747253
"interested",-0.054627223947835
"unusual",0
"exceptionally",0
"appreciative",0.0981385266548905
"unhealthy",0
"full",0
"creepy",0
"fresh",0.124781305571626
"small",-0.0497150718507916
"fly",-0.0291737440286334
"adventurous",0
"dirty",-0.275295363375481
"shallow",0
"justified",0
"hot",0.0474411814689541
"accomplished",0
"glad",0.200379841027882
"hardly",-0.27034078301145
"pleased",0.0879496175370595
"refreshing",0
"humble",0
"honestly",0
"flashy",0
"dark",0
"talented",0.0120618221565605
"extraordinary",0
"lovely",0.0649867781435377
"ordinarily",0
"violent",-0.231004295503695
"right",0
"great",0.21653389198148
"mad",-0.0330483207472476
"cheap",0
"winning",0
"early",0
"wildly",0
"filled",0
"military",0
"unfortunately",-0.30501271892417
"mod",0.00533082864954253
"real",0
"modest",0
"major",0
"flawless",0.186642862879033
"insanely",0
"shy",0
"meaningful",0
"marvelous",0.0211418320288559
"warm",0
"whole",0
"base",0
"frigid",0
"authentic",0.206854481423403
"trendy",0
"little",0
"overboard",0
"majorly",0
"relevant",0
"economical",0
"new",0.00757743429747339
"icy",0
"laugh",0
"celebrated",0.040093526336242
"respectful",0.0701482463526676
"dumb",0
"luckily",0
"intensely",0
"dimly",0
"duh",0
"cushy",0
"commonly",0
"aware",0
"thick",0
"best",0.11871416446764
"spent",-0.209343277616982
"super",0.0707245802729224
"top",0
"pure",0
"decently",0
"hilarious",0.0546204301907472
"complicated",0
"messy",0.109779961159904
"confident",0
"dusty",0
"behind",0
"intense",0
"welcome",0
"interesting",0
"loyal",0
"irritating",0
"golden",0
"shady",-0.156711068350282
"disgusted",0
"stereotypical",0
"beefy",0
"healthy",0.0631690496275868
"evil",0
"active",0
"very",0
"delighted",0
"icky",0
"loose",0
"own",0
"fatty",-0.0870851646942938
"sloppily",-0.154909457460407
"wild",0
"competent",0
"witty",0
"normally",-0.00221726422832941
"wow",0.103600751461342
"impossible",-0.0950264758220229
"easy",0.0324567164687318
"professional",0.135152512629331
"sexual",-0.602720199941237
"sensational",0.037618814675421
"worthless",-0.63489681132457
"passionate",0
"thickly",0
"detailed",0
"false",-0.505724733292117
"entertaining",0
"challenging",0
"avid",0
"warmly",0.0380070575679427
"thrilled",0
"fine",-0.18151789414336
"okay",-0.256016419520423
"humorous",0
"enjoyable",0
"comic",0
"attentive",0.0440544482313786
"creative",0.0197073847550655
"uneven",-0.00651260696556235
"extreme",-0.131315686234019
"clumsy",0
"plain",-0.0799734276384768
"main",-0.0642883623299576
"less",0.0158428454451108
"tidy",0
"serious",-0.0468955173138239
"funny",-0.00794741862216741
"remarkable",0
"redeeming",-0.118097523360485
"predictable",0
"lucky",0
"natural",0
"light",0
"enjoyed",0.020266761814111
"down",-0.0838257303167377
"supportive",0
"devoid",0
"dull",0
"cutting",0
"dried",-0.037426920289258
"positive",-0.011636450268926
"beautiful",0.0510326176612737
"classic",0.0195927401597733
"concrete",0
"happiness",0
"excessive",-0.0841060714128503
"cold",-0.238206128337419
"fair",0
"straightforward",0
"absolute",0
"cow",0
"minor",0.024780869074205
"disabled",0
"thin",-0.00859069654359384
"harsh",-0.0124586646689512
"sorry",-0.326194860431591
"good",0.0337420536134587
"mere",0.0437875881194558
"magnificent",0.0964559276568641
"rank",0
"rare",0
"innocent",0
"slight",0
"expensive",-0.1762891318758
"realistic",0
"fun",0.0982959488112135
"imitation",-0.0607297740375893
"worthy",0
"responsible",0
"evident",0
"stumble",0
"usual",0
"smoothly",0.149326388428519
"remote",0
"center",0
"accessible",0
"late",-0.0350633486258622
"average",-0.247773757515128
"criminal",-0.324085359160152
"everyday",0.129557946670522
"useful",0
"peaceful",0
"bland",-0.473183919224279
"boring",-0.152063055522265
"deluxe",0
"dry",-0.301605147020548
"difficult",0
"sour",-0.0772875181207398
"blatant",0
"exact",0
"wet",-0.0425799018191251
"cultural",0
"honest",0
"foreign",0
"due",-0.0658286056584169
"delicate",0
"sure",0.0211993267206533
"pretty",-0.0388382921203657
"genuinely",0
"exotic",0
"unsettling",0
"colossal",0
"surprised",0
"unable",-0.125982754243408
"exhausted",0
"insulting",0
"firmly",0
"stunning",0
"sadly",-0.213602434923811
"apparent",0
"extraordinarily",0
"experimental",0
"fit",0
"unlikely",0
"elementary",0.0603187279663867
"iconic",0
"negative",-0.0143243901125989
"appealing",0
"appreciated",0
"clever",0
"horrific",-0.428671841118471
"true",0.0525583545901506
"hidden",0.192848313412078
"frustrating",-0.291061158442662
"apt",0
"intimate",0
"unnecessarily",0
"guilty",0
"pretentious",-0.0966343000690098
"accurate",0
"tame",0
"unevenly",0
"straight",0
"cheery",0
"distant",0
"cool",0.0157958798278212
"uncomfortably",0
"complimentary",0
"alive",0
"elaborate",0
"gargantuan",0
"comically",0
"sloppy",-0.0489032378564187
"happy",0.0445532046045029
"adequate",-0.23833619133758
"careless",-0.336290683008831
"wrong",-0.17835289040687
"wan",0
"deplorable",0
"fast",0.0537843130532135
"proud",0.0736997423381578
"old",-0.0431300496248825
"courteous",0.169910016871323
"disgusting",0
"significant",0.00225659371223234
"specially",0
"fortunate",0
"wide",0.0160363553052539
"blind",0
"loud",-0.148546936374186
"muggy",0
"impeccably",0
"sensitive",0
"lifelong",0
"strange",-0.127449880302698
"sentimental",0
"forced",0
"nostalgic",0
"abundant",0
"annoyed",-0.246634358478211
"gay",0
"long",-0.0581289258636613
"many",0
"impressive",0.00213750913890386
