"star","nChar","income","unviersity","nSentence","p.","p..1","very.positive","some.positive","neutral","some.negative","very.negative"
5,231,77736,0,7,0,0,4,1,0,2,0
4,126,66000,1,3,1,0,0,1,2,0,0
3,1341,55687,1,15,0,1,2,4,5,6,3
5,477,77619,0,9,3,0,2,4,1,0,0
1,728,66000,1,7,0,0,0,1,7,3,2
2,209,67165,1,3,0,0,3,0,2,1,2
3,326,37316,1,6,0,0,1,2,3,3,0
4,461,45166,0,5,0,0,1,1,3,2,0
4,79,80310,0,2,2,0,3,2,0,0,0
5,373,41255,0,3,0,0,0,1,3,1,0
5,262,37316,1,7,3,0,3,1,2,1,0
4,495,80310,0,8,0,0,2,3,6,0,1
5,396,67165,1,7,1,0,4,1,0,2,0
5,147,45166,0,3,1,0,1,1,0,1,0
5,253,77736,0,4,2,0,2,1,1,2,0
1,1267,66000,1,10,0,0,0,1,3,9,1
5,87,35934,1,3,0,0,1,2,0,0,0
2,775,66000,1,8,0,1,1,2,3,3,1
4,566,66000,1,7,1,0,1,3,4,2,0
3,1035,55687,1,5,0,0,1,5,5,7,0
4,248,43706,0,6,0,0,0,4,2,0,0
3,827,55687,1,10,1,0,2,5,7,2,0
3,575,77736,0,11,0,0,0,1,5,1,1
3,290,35934,1,6,1,0,1,1,0,0,0
4,769,77736,0,9,2,0,4,5,5,4,1
5,1021,45166,0,22,0,0,7,8,2,10,2
3,2080,66000,1,25,1,0,2,20,11,9,2
1,267,35934,1,5,0,0,0,0,1,1,0
1,88,55687,1,11,2,9,0,1,0,0,0
3,2021,66000,1,23,0,0,1,12,11,12,4
5,157,19167,1,2,0,0,2,0,1,0,0
5,790,66000,1,12,0,1,1,2,2,4,1
1,2055,46162,1,45,3,1,0,6,9,9,16
4,1073,67165,1,11,0,0,1,11,5,4,0
1,590,77619,0,17,10,1,0,1,1,2,3
5,745,45166,0,18,1,0,1,2,5,4,0
5,437,72569,1,6,2,0,4,2,4,1,0
5,699,35934,1,6,6,0,3,4,4,4,0
1,162,49336,0,4,0,0,0,1,0,0,0
3,878,43706,0,17,0,0,3,6,4,5,3
5,101,66000,1,3,1,0,2,0,0,0,0
5,197,77736,0,4,0,0,1,0,1,1,0
5,155,98140,1,3,1,0,3,0,0,1,0
5,113,43706,0,2,0,0,3,0,0,0,0
1,478,77736,0,12,1,0,0,1,1,1,1
4,1396,72569,1,16,1,0,0,8,9,3,1
2,722,66000,1,8,0,0,0,-1,1,6,4
4,134,66000,1,6,1,0,2,1,0,0,0
5,264,77736,0,7,3,0,3,2,0,3,0
5,201,72569,1,5,3,0,0,3,0,0,0
4,279,72569,1,10,3,0,2,1,1,0,0
4,97,37316,1,4,0,0,1,0,0,1,0
4,1169,55043,1,17,6,0,3,10,3,1,0
5,214,49865,0,4,0,0,4,1,1,0,0
5,243,37316,1,4,1,0,1,1,1,0,0
4,170,67165,1,5,0,0,2,0,0,0,0
4,326,67165,1,4,1,0,2,3,3,1,0
5,326,67165,1,5,0,0,6,0,2,3,0
5,1192,80310,0,24,4,0,9,4,4,3,0
1,117,36695,1,2,0,0,0,1,0,0,2
5,167,37316,1,3,1,0,1,0,0,0,0
4,576,77619,0,11,0,0,4,1,0,2,0
5,598,72569,1,9,2,0,5,6,1,0,0
5,434,80310,0,9,0,1,2,7,2,2,0
4,334,66000,1,12,4,0,1,3,2,1,0
5,391,35934,1,3,0,0,0,2,2,3,0
5,302,36695,1,5,0,0,2,1,2,0,0
5,169,80310,0,3,0,0,2,1,1,0,0
1,353,67165,1,5,0,0,0,0,2,1,2
2,486,72569,1,5,0,0,1,2,1,2,4
5,1806,66000,1,29,0,1,3,7,11,11,2
5,1007,66000,1,9,2,0,3,3,10,3,1
5,866,49336,0,12,0,0,7,5,1,5,0
5,296,66000,1,4,0,0,2,0,3,2,0
5,511,66000,1,6,0,0,1,5,4,0,0
5,2067,66000,1,47,1,2,8,10,17,6,3
4,203,77736,0,3,1,0,1,2,0,0,0
4,523,77736,0,9,2,0,3,6,4,4,1
5,381,41255,0,4,2,0,4,2,3,2,0
4,283,83084,0,5,2,0,3,3,3,0,0
4,231,98140,1,6,1,0,2,2,3,1,0
3,1302,80310,0,14,3,0,2,2,3,4,0
3,591,49865,0,4,0,0,2,3,1,1,0
